size	angularsize	pmax	R(tnn)	I(tnn)	Abs(tnn)	R(tnnwopm)	I(tnnwopm)	Abs(tnnwopm)
  4	 12	1.500000e+02	-1.400717e-01	-2.119892e-01	2.540856e-01	-1.399941e-01	-2.121710e-01	2.541945e-01
  4	 12	2.500000e+02	-1.387587e-01	-2.149796e-01	2.558714e-01	-1.387091e-01	-2.150892e-01	2.559366e-01
  4	 12	3.500000e+02	-1.381708e-01	-2.162646e-01	2.566350e-01	-1.381344e-01	-2.163430e-01	2.566815e-01
  4	 12	4.500000e+02	-1.378375e-01	-2.169793e-01	2.570588e-01	-1.378088e-01	-2.170404e-01	2.570949e-01
  4	 12	5.500000e+02	-1.376229e-01	-2.174345e-01	2.573282e-01	-1.375992e-01	-2.174844e-01	2.573578e-01
  4	 12	6.500000e+02	-1.374732e-01	-2.177497e-01	2.575147e-01	-1.374531e-01	-2.177920e-01	2.575397e-01
  4	 12	7.500000e+02	-1.373628e-01	-2.179809e-01	2.576513e-01	-1.373453e-01	-2.180176e-01	2.576730e-01
  4	 12	8.500000e+02	-1.372781e-01	-2.181577e-01	2.577558e-01	-1.372626e-01	-2.181901e-01	2.577750e-01
  4	 12	9.500000e+02	-1.372110e-01	-2.182974e-01	2.578383e-01	-1.371970e-01	-2.183263e-01	2.578554e-01
  4	 12	1.050000e+03	-1.371565e-01	-2.184105e-01	2.579051e-01	-1.371439e-01	-2.184367e-01	2.579206e-01
  4	 12	1.150000e+03	-1.371114e-01	-2.185039e-01	2.579602e-01	-1.370999e-01	-2.185278e-01	2.579744e-01
  4	 12	1.250000e+03	-1.370735e-01	-2.185823e-01	2.580066e-01	-1.370629e-01	-2.186043e-01	2.580195e-01
  4	 12	1.350000e+03	-1.370411e-01	-2.186492e-01	2.580460e-01	-1.370313e-01	-2.186696e-01	2.580580e-01
  4	 12	1.450000e+03	-1.370132e-01	-2.187068e-01	2.580800e-01	-1.370040e-01	-2.187258e-01	2.580912e-01
  4	 12	1.550000e+03	-1.369889e-01	-2.187570e-01	2.581096e-01	-1.369802e-01	-2.187748e-01	2.581201e-01
  4	 12	1.650000e+03	-1.369674e-01	-2.188011e-01	2.581356e-01	-1.369593e-01	-2.188178e-01	2.581455e-01
  4	 12	1.750000e+03	-1.369485e-01	-2.188402e-01	2.581587e-01	-1.369408e-01	-2.188559e-01	2.581680e-01
  4	 12	1.850000e+03	-1.369315e-01	-2.188751e-01	2.581793e-01	-1.369243e-01	-2.188899e-01	2.581880e-01
  4	 12	1.950000e+03	-1.369163e-01	-2.189063e-01	2.581977e-01	-1.369094e-01	-2.189204e-01	2.582060e-01
  4	 12	2.050000e+03	-1.369025e-01	-2.189346e-01	2.582143e-01	-1.368960e-01	-2.189480e-01	2.582223e-01
  4	 12	2.150000e+03	-1.368901e-01	-2.189602e-01	2.582294e-01	-1.368838e-01	-2.189730e-01	2.582370e-01
  4	 12	2.250000e+03	-1.368787e-01	-2.189835e-01	2.582432e-01	-1.368727e-01	-2.189957e-01	2.582504e-01
  4	 12	2.350000e+03	-1.368683e-01	-2.190048e-01	2.582558e-01	-1.368626e-01	-2.190165e-01	2.582627e-01
  4	 12	2.450000e+03	-1.368587e-01	-2.190244e-01	2.582673e-01	-1.368533e-01	-2.190357e-01	2.582740e-01
  4	 12	2.550000e+03	-1.368499e-01	-2.190425e-01	2.582780e-01	-1.368447e-01	-2.190533e-01	2.582844e-01
  4	 12	2.650000e+03	-1.368418e-01	-2.190592e-01	2.582878e-01	-1.368367e-01	-2.190696e-01	2.582940e-01
  4	 12	2.750000e+03	-1.368342e-01	-2.190747e-01	2.582970e-01	-1.368293e-01	-2.190847e-01	2.583029e-01
  4	 12	2.850000e+03	-1.368272e-01	-2.190891e-01	2.583055e-01	-1.368225e-01	-2.190987e-01	2.583112e-01
  4	 12	2.950000e+03	-1.368206e-01	-2.191025e-01	2.583134e-01	-1.368161e-01	-2.191118e-01	2.583189e-01
  4	 12	3.050000e+03	-1.368145e-01	-2.191151e-01	2.583208e-01	-1.368101e-01	-2.191241e-01	2.583261e-01
  4	 12	3.150000e+03	-1.368088e-01	-2.191268e-01	2.583277e-01	-1.368045e-01	-2.191355e-01	2.583328e-01
  4	 12	3.250000e+03	-1.368034e-01	-2.191378e-01	2.583342e-01	-1.367992e-01	-2.191463e-01	2.583392e-01
  4	 12	3.350000e+03	-1.367983e-01	-2.191482e-01	2.583403e-01	-1.367943e-01	-2.191564e-01	2.583451e-01
  4	 12	3.450000e+03	-1.367935e-01	-2.191580e-01	2.583461e-01	-1.367896e-01	-2.191659e-01	2.583508e-01
  4	 12	3.550000e+03	-1.367890e-01	-2.191672e-01	2.583515e-01	-1.367852e-01	-2.191749e-01	2.583561e-01
  4	 12	3.650000e+03	-1.367848e-01	-2.191759e-01	2.583566e-01	-1.367811e-01	-2.191834e-01	2.583611e-01
  4	 12	3.750000e+03	-1.367807e-01	-2.191841e-01	2.583615e-01	-1.367771e-01	-2.191915e-01	2.583658e-01
  4	 12	3.850000e+03	-1.367769e-01	-2.191920e-01	2.583661e-01	-1.367734e-01	-2.191991e-01	2.583703e-01
  4	 12	3.950000e+03	-1.367733e-01	-2.191994e-01	2.583705e-01	-1.367699e-01	-2.192063e-01	2.583746e-01
  4	 12	4.050000e+03	-1.367698e-01	-2.192064e-01	2.583746e-01	-1.367665e-01	-2.192132e-01	2.583786e-01
  4	 12	4.150000e+03	-1.367665e-01	-2.192131e-01	2.583786e-01	-1.367633e-01	-2.192198e-01	2.583825e-01
  4	 12	4.250000e+03	-1.367634e-01	-2.192195e-01	2.583823e-01	-1.367602e-01	-2.192260e-01	2.583862e-01
  4	 12	4.350000e+03	-1.367604e-01	-2.192256e-01	2.583859e-01	-1.367573e-01	-2.192320e-01	2.583897e-01
  4	 12	4.450000e+03	-1.367576e-01	-2.192315e-01	2.583894e-01	-1.367545e-01	-2.192377e-01	2.583930e-01
  4	 12	4.550000e+03	-1.367548e-01	-2.192371e-01	2.583927e-01	-1.367519e-01	-2.192431e-01	2.583962e-01
  4	 12	4.650000e+03	-1.367522e-01	-2.192424e-01	2.583958e-01	-1.367493e-01	-2.192483e-01	2.583993e-01
  4	 12	4.750000e+03	-1.367497e-01	-2.192475e-01	2.583988e-01	-1.367469e-01	-2.192533e-01	2.584022e-01
  4	 12	4.850000e+03	-1.367473e-01	-2.192524e-01	2.584017e-01	-1.367445e-01	-2.192581e-01	2.584051e-01
  4	 12	4.950000e+03	-1.367450e-01	-2.192571e-01	2.584045e-01	-1.367423e-01	-2.192627e-01	2.584078e-01
  4	 12	5.050000e+03	-1.367428e-01	-2.192616e-01	2.584071e-01	-1.367401e-01	-2.192671e-01	2.584104e-01
  4	 12	5.150000e+03	-1.367407e-01	-2.192660e-01	2.584097e-01	-1.367381e-01	-2.192713e-01	2.584129e-01
  4	 12	5.250000e+03	-1.367386e-01	-2.192701e-01	2.584122e-01	-1.367361e-01	-2.192754e-01	2.584153e-01
  4	 12	5.350000e+03	-1.367367e-01	-2.192742e-01	2.584145e-01	-1.367341e-01	-2.192793e-01	2.584176e-01
  4	 12	5.450000e+03	-1.367348e-01	-2.192780e-01	2.584168e-01	-1.367323e-01	-2.192831e-01	2.584198e-01
  4	 12	5.550000e+03	-1.367329e-01	-2.192818e-01	2.584190e-01	-1.367305e-01	-2.192867e-01	2.584219e-01
  4	 12	5.650000e+03	-1.367312e-01	-2.192854e-01	2.584211e-01	-1.367288e-01	-2.192902e-01	2.584240e-01
  4	 12	5.750000e+03	-1.367295e-01	-2.192888e-01	2.584232e-01	-1.367271e-01	-2.192936e-01	2.584260e-01
  4	 12	5.850000e+03	-1.367278e-01	-2.192922e-01	2.584252e-01	-1.367255e-01	-2.192969e-01	2.584279e-01
  4	 12	5.950000e+03	-1.367262e-01	-2.192954e-01	2.584271e-01	-1.367240e-01	-2.193001e-01	2.584298e-01
  4	 12	6.050000e+03	-1.367247e-01	-2.192986e-01	2.584289e-01	-1.367225e-01	-2.193031e-01	2.584316e-01
  4	 12	6.150000e+03	-1.367232e-01	-2.193016e-01	2.584307e-01	-1.367210e-01	-2.193061e-01	2.584333e-01
  4	 12	6.250000e+03	-1.367218e-01	-2.193045e-01	2.584324e-01	-1.367196e-01	-2.193089e-01	2.584350e-01
  4	 12	6.350000e+03	-1.367204e-01	-2.193074e-01	2.584341e-01	-1.367182e-01	-2.193117e-01	2.584367e-01
  4	 12	6.450000e+03	-1.367190e-01	-2.193101e-01	2.584357e-01	-1.367169e-01	-2.193144e-01	2.584382e-01
  4	 12	6.550000e+03	-1.367177e-01	-2.193128e-01	2.584373e-01	-1.367157e-01	-2.193170e-01	2.584398e-01
  4	 12	6.650000e+03	-1.367164e-01	-2.193154e-01	2.584388e-01	-1.367144e-01	-2.193195e-01	2.584413e-01
  4	 12	6.750000e+03	-1.367152e-01	-2.193179e-01	2.584403e-01	-1.367132e-01	-2.193220e-01	2.584427e-01
  4	 12	6.850000e+03	-1.367140e-01	-2.193204e-01	2.584418e-01	-1.367120e-01	-2.193244e-01	2.584441e-01
  4	 12	6.950000e+03	-1.367128e-01	-2.193227e-01	2.584432e-01	-1.367109e-01	-2.193267e-01	2.584455e-01
  4	 12	7.050000e+03	-1.367117e-01	-2.193250e-01	2.584445e-01	-1.367098e-01	-2.193289e-01	2.584468e-01
  4	 12	7.150000e+03	-1.367106e-01	-2.193273e-01	2.584458e-01	-1.367087e-01	-2.193311e-01	2.584481e-01
  4	 12	7.250000e+03	-1.367096e-01	-2.193294e-01	2.584471e-01	-1.367077e-01	-2.193332e-01	2.584493e-01
  4	 12	7.350000e+03	-1.367085e-01	-2.193316e-01	2.584484e-01	-1.367067e-01	-2.193353e-01	2.584506e-01
  4	 12	7.450000e+03	-1.367075e-01	-2.193336e-01	2.584496e-01	-1.367057e-01	-2.193373e-01	2.584518e-01
  4	 12	7.550000e+03	-1.367065e-01	-2.193356e-01	2.584508e-01	-1.367047e-01	-2.193393e-01	2.584529e-01
  4	 12	7.650000e+03	-1.367056e-01	-2.193376e-01	2.584519e-01	-1.367038e-01	-2.193412e-01	2.584540e-01
  4	 12	7.750000e+03	-1.367046e-01	-2.193395e-01	2.584530e-01	-1.367029e-01	-2.193430e-01	2.584551e-01
  4	 12	7.850000e+03	-1.367037e-01	-2.193414e-01	2.584541e-01	-1.367020e-01	-2.193449e-01	2.584562e-01
  4	 12	7.950000e+03	-1.367028e-01	-2.193432e-01	2.584552e-01	-1.367011e-01	-2.193466e-01	2.584572e-01
  4	 12	8.050000e+03	-1.367020e-01	-2.193449e-01	2.584562e-01	-1.367003e-01	-2.193483e-01	2.584582e-01
  4	 12	8.150000e+03	-1.367011e-01	-2.193466e-01	2.584572e-01	-1.366995e-01	-2.193500e-01	2.584592e-01
  4	 12	8.250000e+03	-1.367003e-01	-2.193483e-01	2.584582e-01	-1.366987e-01	-2.193517e-01	2.584602e-01
  4	 12	8.350000e+03	-1.366995e-01	-2.193500e-01	2.584592e-01	-1.366979e-01	-2.193533e-01	2.584611e-01
  4	 12	8.450000e+03	-1.366987e-01	-2.193516e-01	2.584601e-01	-1.366971e-01	-2.193548e-01	2.584621e-01
  4	 12	8.550000e+03	-1.366979e-01	-2.193531e-01	2.584611e-01	-1.366964e-01	-2.193563e-01	2.584630e-01
  4	 12	8.650000e+03	-1.366972e-01	-2.193547e-01	2.584620e-01	-1.366956e-01	-2.193578e-01	2.584638e-01
  4	 12	8.750000e+03	-1.366965e-01	-2.193561e-01	2.584628e-01	-1.366949e-01	-2.193593e-01	2.584647e-01
  4	 12	8.850000e+03	-1.366957e-01	-2.193576e-01	2.584637e-01	-1.366942e-01	-2.193607e-01	2.584655e-01
  4	 12	8.950000e+03	-1.366950e-01	-2.193590e-01	2.584645e-01	-1.366935e-01	-2.193621e-01	2.584663e-01
  4	 12	9.050000e+03	-1.366944e-01	-2.193604e-01	2.584654e-01	-1.366929e-01	-2.193635e-01	2.584671e-01
  4	 12	9.150000e+03	-1.366937e-01	-2.193618e-01	2.584662e-01	-1.366922e-01	-2.193648e-01	2.584679e-01
  4	 12	9.250000e+03	-1.366930e-01	-2.193631e-01	2.584669e-01	-1.366916e-01	-2.193661e-01	2.584687e-01
  4	 12	9.350000e+03	-1.366924e-01	-2.193644e-01	2.584677e-01	-1.366909e-01	-2.193674e-01	2.584694e-01
  4	 12	9.450000e+03	-1.366918e-01	-2.193657e-01	2.584685e-01	-1.366903e-01	-2.193686e-01	2.584702e-01
  4	 12	9.550000e+03	-1.366912e-01	-2.193669e-01	2.584692e-01	-1.366897e-01	-2.193698e-01	2.584709e-01
  4	 12	9.650000e+03	-1.366906e-01	-2.193682e-01	2.584699e-01	-1.366891e-01	-2.193710e-01	2.584716e-01
  4	 12	9.750000e+03	-1.366900e-01	-2.193694e-01	2.584706e-01	-1.366886e-01	-2.193722e-01	2.584723e-01
  4	 12	9.850000e+03	-1.366894e-01	-2.193706e-01	2.584713e-01	-1.366880e-01	-2.193733e-01	2.584730e-01
  4	 12	9.950000e+03	-1.366888e-01	-2.193717e-01	2.584720e-01	-1.366875e-01	-2.193745e-01	2.584736e-01
  4	 16	5.000000e+01	-1.454856e-01	-1.972185e-01	2.450739e-01	-1.453217e-01	-1.977459e-01	2.454013e-01
  4	 16	1.500000e+02	-1.400717e-01	-2.119892e-01	2.540856e-01	-1.399940e-01	-2.121710e-01	2.541945e-01
  4	 16	2.500000e+02	-1.387587e-01	-2.149796e-01	2.558714e-01	-1.387091e-01	-2.150892e-01	2.559366e-01
  4	 16	3.500000e+02	-1.381708e-01	-2.162646e-01	2.566350e-01	-1.381344e-01	-2.163430e-01	2.566815e-01
  4	 16	4.500000e+02	-1.378375e-01	-2.169793e-01	2.570588e-01	-1.378088e-01	-2.170404e-01	2.570949e-01
  4	 16	5.500000e+02	-1.376229e-01	-2.174345e-01	2.573282e-01	-1.375992e-01	-2.174844e-01	2.573578e-01
  4	 16	6.500000e+02	-1.374732e-01	-2.177497e-01	2.575147e-01	-1.374531e-01	-2.177920e-01	2.575397e-01
  4	 16	7.500000e+02	-1.373628e-01	-2.179809e-01	2.576513e-01	-1.373453e-01	-2.180176e-01	2.576730e-01
  4	 16	8.500000e+02	-1.372781e-01	-2.181577e-01	2.577558e-01	-1.372626e-01	-2.181901e-01	2.577750e-01
  4	 16	9.500000e+02	-1.372110e-01	-2.182974e-01	2.578383e-01	-1.371970e-01	-2.183263e-01	2.578554e-01
  4	 16	1.050000e+03	-1.371565e-01	-2.184105e-01	2.579051e-01	-1.371439e-01	-2.184367e-01	2.579206e-01
  4	 16	1.150000e+03	-1.371114e-01	-2.185039e-01	2.579602e-01	-1.370999e-01	-2.185278e-01	2.579744e-01
  4	 16	1.250000e+03	-1.370735e-01	-2.185823e-01	2.580066e-01	-1.370629e-01	-2.186043e-01	2.580195e-01
  4	 16	1.350000e+03	-1.370411e-01	-2.186492e-01	2.580460e-01	-1.370313e-01	-2.186696e-01	2.580580e-01
  4	 16	1.450000e+03	-1.370132e-01	-2.187068e-01	2.580800e-01	-1.370040e-01	-2.187258e-01	2.580912e-01
  4	 16	1.550000e+03	-1.369889e-01	-2.187570e-01	2.581096e-01	-1.369802e-01	-2.187748e-01	2.581201e-01
  4	 16	1.650000e+03	-1.369674e-01	-2.188011e-01	2.581356e-01	-1.369593e-01	-2.188178e-01	2.581455e-01
  4	 16	1.750000e+03	-1.369485e-01	-2.188402e-01	2.581587e-01	-1.369408e-01	-2.188559e-01	2.581680e-01
  4	 16	1.850000e+03	-1.369315e-01	-2.188751e-01	2.581793e-01	-1.369243e-01	-2.188899e-01	2.581880e-01
  4	 16	1.950000e+03	-1.369163e-01	-2.189063e-01	2.581977e-01	-1.369094e-01	-2.189204e-01	2.582060e-01
  4	 16	2.050000e+03	-1.369025e-01	-2.189346e-01	2.582143e-01	-1.368960e-01	-2.189480e-01	2.582223e-01
  4	 16	2.150000e+03	-1.368901e-01	-2.189602e-01	2.582294e-01	-1.368838e-01	-2.189730e-01	2.582370e-01
  4	 16	2.250000e+03	-1.368787e-01	-2.189835e-01	2.582432e-01	-1.368727e-01	-2.189957e-01	2.582504e-01
  4	 16	2.350000e+03	-1.368683e-01	-2.190048e-01	2.582558e-01	-1.368626e-01	-2.190165e-01	2.582627e-01
  4	 16	2.450000e+03	-1.368587e-01	-2.190244e-01	2.582673e-01	-1.368533e-01	-2.190357e-01	2.582740e-01
  4	 16	2.550000e+03	-1.368499e-01	-2.190425e-01	2.582780e-01	-1.368447e-01	-2.190533e-01	2.582844e-01
  4	 16	2.650000e+03	-1.368418e-01	-2.190592e-01	2.582878e-01	-1.368367e-01	-2.190696e-01	2.582940e-01
  4	 16	2.750000e+03	-1.368342e-01	-2.190747e-01	2.582970e-01	-1.368293e-01	-2.190847e-01	2.583029e-01
  4	 16	2.850000e+03	-1.368272e-01	-2.190891e-01	2.583055e-01	-1.368225e-01	-2.190987e-01	2.583112e-01
  4	 16	2.950000e+03	-1.368206e-01	-2.191025e-01	2.583134e-01	-1.368161e-01	-2.191118e-01	2.583189e-01
  4	 16	3.050000e+03	-1.368145e-01	-2.191151e-01	2.583208e-01	-1.368101e-01	-2.191241e-01	2.583261e-01
  4	 16	3.150000e+03	-1.368088e-01	-2.191268e-01	2.583277e-01	-1.368045e-01	-2.191355e-01	2.583328e-01
  4	 16	3.250000e+03	-1.368034e-01	-2.191378e-01	2.583342e-01	-1.367992e-01	-2.191463e-01	2.583392e-01
  4	 16	3.350000e+03	-1.367983e-01	-2.191482e-01	2.583403e-01	-1.367943e-01	-2.191564e-01	2.583451e-01
  4	 16	3.450000e+03	-1.367935e-01	-2.191580e-01	2.583461e-01	-1.367896e-01	-2.191659e-01	2.583508e-01
  4	 16	3.550000e+03	-1.367890e-01	-2.191672e-01	2.583515e-01	-1.367852e-01	-2.191749e-01	2.583561e-01
  4	 16	3.650000e+03	-1.367848e-01	-2.191759e-01	2.583566e-01	-1.367811e-01	-2.191834e-01	2.583611e-01
  4	 16	3.750000e+03	-1.367807e-01	-2.191841e-01	2.583615e-01	-1.367771e-01	-2.191915e-01	2.583658e-01
  4	 16	3.850000e+03	-1.367769e-01	-2.191920e-01	2.583661e-01	-1.367734e-01	-2.191991e-01	2.583703e-01
  4	 16	3.950000e+03	-1.367733e-01	-2.191994e-01	2.583705e-01	-1.367699e-01	-2.192063e-01	2.583746e-01
  4	 16	4.050000e+03	-1.367698e-01	-2.192064e-01	2.583746e-01	-1.367665e-01	-2.192132e-01	2.583786e-01
  4	 16	4.150000e+03	-1.367665e-01	-2.192131e-01	2.583786e-01	-1.367633e-01	-2.192198e-01	2.583825e-01
  4	 16	4.250000e+03	-1.367634e-01	-2.192195e-01	2.583823e-01	-1.367602e-01	-2.192260e-01	2.583862e-01
  4	 16	4.350000e+03	-1.367604e-01	-2.192256e-01	2.583859e-01	-1.367573e-01	-2.192320e-01	2.583897e-01
  4	 16	4.450000e+03	-1.367576e-01	-2.192315e-01	2.583894e-01	-1.367545e-01	-2.192377e-01	2.583930e-01
  4	 16	4.550000e+03	-1.367548e-01	-2.192371e-01	2.583927e-01	-1.367519e-01	-2.192431e-01	2.583962e-01
  4	 16	4.650000e+03	-1.367522e-01	-2.192424e-01	2.583958e-01	-1.367493e-01	-2.192483e-01	2.583993e-01
  4	 16	4.750000e+03	-1.367497e-01	-2.192475e-01	2.583988e-01	-1.367469e-01	-2.192533e-01	2.584022e-01
  4	 16	4.850000e+03	-1.367473e-01	-2.192524e-01	2.584017e-01	-1.367445e-01	-2.192581e-01	2.584051e-01
  4	 16	4.950000e+03	-1.367450e-01	-2.192571e-01	2.584045e-01	-1.367423e-01	-2.192627e-01	2.584078e-01
  4	 16	5.050000e+03	-1.367428e-01	-2.192616e-01	2.584071e-01	-1.367401e-01	-2.192671e-01	2.584104e-01
  4	 16	5.150000e+03	-1.367407e-01	-2.192660e-01	2.584097e-01	-1.367381e-01	-2.192713e-01	2.584129e-01
  4	 16	5.250000e+03	-1.367386e-01	-2.192701e-01	2.584122e-01	-1.367361e-01	-2.192754e-01	2.584153e-01
  4	 16	5.350000e+03	-1.367367e-01	-2.192742e-01	2.584145e-01	-1.367341e-01	-2.192793e-01	2.584176e-01
  4	 16	5.450000e+03	-1.367348e-01	-2.192780e-01	2.584168e-01	-1.367323e-01	-2.192831e-01	2.584198e-01
  4	 16	5.550000e+03	-1.367329e-01	-2.192818e-01	2.584190e-01	-1.367305e-01	-2.192867e-01	2.584219e-01
  4	 16	5.650000e+03	-1.367312e-01	-2.192854e-01	2.584211e-01	-1.367288e-01	-2.192902e-01	2.584240e-01
  4	 16	5.750000e+03	-1.367295e-01	-2.192888e-01	2.584232e-01	-1.367271e-01	-2.192936e-01	2.584260e-01
  4	 16	5.850000e+03	-1.367278e-01	-2.192922e-01	2.584252e-01	-1.367255e-01	-2.192969e-01	2.584279e-01
  4	 16	5.950000e+03	-1.367262e-01	-2.192954e-01	2.584271e-01	-1.367240e-01	-2.193001e-01	2.584298e-01
  4	 16	6.050000e+03	-1.367247e-01	-2.192986e-01	2.584289e-01	-1.367225e-01	-2.193031e-01	2.584316e-01
  4	 16	6.150000e+03	-1.367232e-01	-2.193016e-01	2.584307e-01	-1.367210e-01	-2.193061e-01	2.584333e-01
  4	 16	6.250000e+03	-1.367218e-01	-2.193045e-01	2.584324e-01	-1.367196e-01	-2.193089e-01	2.584350e-01
  4	 16	6.350000e+03	-1.367204e-01	-2.193074e-01	2.584341e-01	-1.367182e-01	-2.193117e-01	2.584367e-01
  4	 16	6.450000e+03	-1.367190e-01	-2.193101e-01	2.584357e-01	-1.367169e-01	-2.193144e-01	2.584382e-01
  4	 16	6.550000e+03	-1.367177e-01	-2.193128e-01	2.584373e-01	-1.367157e-01	-2.193170e-01	2.584398e-01
  4	 16	6.650000e+03	-1.367164e-01	-2.193154e-01	2.584388e-01	-1.367144e-01	-2.193195e-01	2.584413e-01
  4	 16	6.750000e+03	-1.367152e-01	-2.193179e-01	2.584403e-01	-1.367132e-01	-2.193220e-01	2.584427e-01
  4	 16	6.850000e+03	-1.367140e-01	-2.193204e-01	2.584418e-01	-1.367120e-01	-2.193244e-01	2.584441e-01
  4	 16	6.950000e+03	-1.367128e-01	-2.193227e-01	2.584432e-01	-1.367109e-01	-2.193267e-01	2.584455e-01
  4	 16	7.050000e+03	-1.367117e-01	-2.193250e-01	2.584445e-01	-1.367098e-01	-2.193289e-01	2.584468e-01
  4	 16	7.150000e+03	-1.367106e-01	-2.193273e-01	2.584458e-01	-1.367087e-01	-2.193311e-01	2.584481e-01
  4	 16	7.250000e+03	-1.367096e-01	-2.193294e-01	2.584471e-01	-1.367077e-01	-2.193332e-01	2.584493e-01
  4	 16	7.350000e+03	-1.367085e-01	-2.193316e-01	2.584484e-01	-1.367067e-01	-2.193353e-01	2.584506e-01
  4	 16	7.450000e+03	-1.367075e-01	-2.193336e-01	2.584496e-01	-1.367057e-01	-2.193373e-01	2.584518e-01
  4	 16	7.550000e+03	-1.367065e-01	-2.193356e-01	2.584508e-01	-1.367047e-01	-2.193393e-01	2.584529e-01
  4	 16	7.650000e+03	-1.367056e-01	-2.193376e-01	2.584519e-01	-1.367038e-01	-2.193412e-01	2.584540e-01
  4	 16	7.750000e+03	-1.367046e-01	-2.193395e-01	2.584530e-01	-1.367029e-01	-2.193430e-01	2.584551e-01
  4	 16	7.850000e+03	-1.367037e-01	-2.193414e-01	2.584541e-01	-1.367020e-01	-2.193449e-01	2.584562e-01
  4	 16	7.950000e+03	-1.367028e-01	-2.193432e-01	2.584552e-01	-1.367011e-01	-2.193466e-01	2.584572e-01
  4	 16	8.050000e+03	-1.367020e-01	-2.193449e-01	2.584562e-01	-1.367003e-01	-2.193483e-01	2.584582e-01
  4	 16	8.150000e+03	-1.367011e-01	-2.193466e-01	2.584572e-01	-1.366995e-01	-2.193500e-01	2.584592e-01
  4	 16	8.250000e+03	-1.367003e-01	-2.193483e-01	2.584582e-01	-1.366987e-01	-2.193517e-01	2.584602e-01
  4	 16	8.350000e+03	-1.366995e-01	-2.193500e-01	2.584592e-01	-1.366979e-01	-2.193533e-01	2.584611e-01
  4	 16	8.450000e+03	-1.366987e-01	-2.193516e-01	2.584601e-01	-1.366971e-01	-2.193548e-01	2.584621e-01
  4	 16	8.550000e+03	-1.366979e-01	-2.193531e-01	2.584611e-01	-1.366964e-01	-2.193563e-01	2.584630e-01
  4	 16	8.650000e+03	-1.366972e-01	-2.193547e-01	2.584620e-01	-1.366956e-01	-2.193578e-01	2.584638e-01
  4	 16	8.750000e+03	-1.366965e-01	-2.193561e-01	2.584628e-01	-1.366949e-01	-2.193593e-01	2.584647e-01
  4	 16	8.850000e+03	-1.366957e-01	-2.193576e-01	2.584637e-01	-1.366942e-01	-2.193607e-01	2.584655e-01
  4	 16	8.950000e+03	-1.366950e-01	-2.193590e-01	2.584645e-01	-1.366935e-01	-2.193621e-01	2.584663e-01
  4	 16	9.050000e+03	-1.366944e-01	-2.193604e-01	2.584654e-01	-1.366929e-01	-2.193635e-01	2.584671e-01
  4	 16	9.150000e+03	-1.366937e-01	-2.193618e-01	2.584662e-01	-1.366922e-01	-2.193648e-01	2.584679e-01
  4	 16	9.250000e+03	-1.366930e-01	-2.193631e-01	2.584669e-01	-1.366916e-01	-2.193661e-01	2.584687e-01
  4	 16	9.350000e+03	-1.366924e-01	-2.193644e-01	2.584677e-01	-1.366909e-01	-2.193674e-01	2.584694e-01
  4	 16	9.450000e+03	-1.366918e-01	-2.193657e-01	2.584685e-01	-1.366903e-01	-2.193686e-01	2.584702e-01
  4	 16	9.550000e+03	-1.366912e-01	-2.193669e-01	2.584692e-01	-1.366897e-01	-2.193698e-01	2.584709e-01
  4	 16	9.650000e+03	-1.366906e-01	-2.193682e-01	2.584699e-01	-1.366891e-01	-2.193710e-01	2.584716e-01
  4	 16	9.750000e+03	-1.366900e-01	-2.193694e-01	2.584706e-01	-1.366886e-01	-2.193722e-01	2.584723e-01
  4	 16	9.850000e+03	-1.366894e-01	-2.193706e-01	2.584713e-01	-1.366880e-01	-2.193733e-01	2.584730e-01
  4	 16	9.950000e+03	-1.366888e-01	-2.193717e-01	2.584720e-01	-1.366875e-01	-2.193745e-01	2.584736e-01
  4	 20	5.000000e+01	-1.454854e-01	-1.972192e-01	2.450743e-01	-1.453214e-01	-1.977466e-01	2.454018e-01
  4	 20	1.500000e+02	-1.400717e-01	-2.119892e-01	2.540856e-01	-1.399940e-01	-2.121710e-01	2.541945e-01
  4	 20	2.500000e+02	-1.387587e-01	-2.149796e-01	2.558714e-01	-1.387091e-01	-2.150892e-01	2.559366e-01
  4	 20	3.500000e+02	-1.381708e-01	-2.162646e-01	2.566350e-01	-1.381344e-01	-2.163430e-01	2.566815e-01
  4	 20	4.500000e+02	-1.378375e-01	-2.169793e-01	2.570588e-01	-1.378088e-01	-2.170404e-01	2.570949e-01
  4	 20	5.500000e+02	-1.376229e-01	-2.174345e-01	2.573282e-01	-1.375992e-01	-2.174844e-01	2.573578e-01
  4	 20	6.500000e+02	-1.374732e-01	-2.177497e-01	2.575147e-01	-1.374531e-01	-2.177920e-01	2.575397e-01
  4	 20	7.500000e+02	-1.373628e-01	-2.179809e-01	2.576513e-01	-1.373453e-01	-2.180176e-01	2.576730e-01
  4	 20	8.500000e+02	-1.372781e-01	-2.181577e-01	2.577558e-01	-1.372626e-01	-2.181901e-01	2.577750e-01
  4	 20	9.500000e+02	-1.372110e-01	-2.182974e-01	2.578383e-01	-1.371970e-01	-2.183263e-01	2.578554e-01
  4	 20	1.050000e+03	-1.371565e-01	-2.184105e-01	2.579051e-01	-1.371439e-01	-2.184367e-01	2.579206e-01
  4	 20	1.150000e+03	-1.371114e-01	-2.185039e-01	2.579602e-01	-1.370999e-01	-2.185278e-01	2.579744e-01
